id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
300792.0,tt1618448,0.584363,0.0,0.0,Racing Extinction,Elon Musk|Jane Goodall|Louie Psihoyos|Leilani Munter|Charles Hambleton,http://www.racingextinction.com,Louie Psihoyos,It's better to light one candle than curse the darkness.,animal species|earth|scientist|globe|activist,An unlikely team of activists and innovators hatches a bold mission to save endangered species.,90.0,Adventure|Documentary,,2015-01-24,36.0,7.8,2015.0,0.0,0.0
360603.0,tt5133572,0.476341,0.0,0.0,Crown for Christmas,Danica McKellar|Rupert Penry-Jones|Ellie Botterill|Pavel Douglas|Colin McFarlane,,Alex Zamm,,,"After getting fired from her job as a maid at a ritzy New York City hotel, Allie reluctantly accepts a temp gig as the governess to a young girl who is part of a powerful family in Europe that lives in an actual castle. After arriving, Allie learns the girl is named Princess Theodora and her father is Maximillion, the King of Winshire. The King informs Allie that the Princess has a tendency to terrorize authority figures, a predilection that has grown worse since her motherâ€™s death. Yet governess and Princess wind up hitting it off while at the same time a spark forms between Allie and Max. However, Countess Celia is expecting to wed the King. Will Max take a stand for his feelings for Allie and make it truly a merry Christmas for all (or at least, most)?",84.0,TV Movie,,2015-11-27,10.0,7.6,2015.0,0.0,0.0
318224.0,tt4257858,0.357614,0.0,0.0,Going Clear: Scientology and the Prison of Belief,Paul Haggis|Jason Beghe|Alex Gibney|Lawrence Wright|Sherry Stringfield,http://www.hbo.com/documentaries/going-clear/,Alex Gibney,,cult|scientology,"Going Clear intimately profiles eight former members of the Church of Scientology, shining a light on how they attract true believers and the things they do in the name of religion.",119.0,Documentary,Jigsaw Productions|HBO Documentary Films|Sky Atlantic,2015-01-25,186.0,7.8,2015.0,0.0,0.0
337960.0,tt3671542,0.327373,0.0,0.0,Holding the Man,Ryan Corr|Craig Stott|Guy Pearce|Sarah Snook|Anthony LaPaglia,,Neil Armfield,A love story for everyone,,"In the 1970s, a young Australian boy, Timothy, finds himself confused. He falls for the captain of the football team. What follows shows all aspects of a relationship, regardless of gender or sexual preference. Conflict, temptation, and a huge burden which will affect every aspect of their lives.",128.0,Drama,Goalpost Pictures,2015-08-27,43.0,7.9,2015.0,0.0,0.0
357681.0,tt4973112,0.198522,0.0,0.0,Hitting the Apex,Brad Pitt|Valentino Rossi|Jorge Lorenzo|Casey Stoner|Dani Pedrosa,http://hittingtheapexfilm.com/,Mark Neale,,fighter|motos,"'Hitting the Apex' is the inside story of six fighters â€“ six of the fastest motorcycle racers of all time â€“ and of the fates that awaited them at the peak of the sport. Itâ€™s the story of what is at stake for all of them: all that can be won, and all that can be lost, when you go chasing glory at over two hundred miles an hour â€“ on a motorcycle.",138.0,Documentary,First Movie Companie,2015-09-02,14.0,8.0,2015.0,0.0,0.0
359305.0,tt4271918,0.309811,0.0,0.0,An Inspector Calls,David Thewlis|Miranda Richardson|Ken Stott|Sophie Rundle|Kyle Soller,http://www.dramarepublic.com/productions/an-inspector-calls/,Aisling Walsh,,woman director,A mysterious Inspector investigates the wealthy Birling family and their dinner guests following the suicide of a young woman.,86.0,Drama|Thriller|Mystery,BBC,2015-09-13,16.0,7.8,2015.0,0.0,0.0
340968.0,tt2492296,0.249595,0.0,0.0,Show Me a Hero,Oscar Isaac|Alfred Molina|Winona Ryder|Catherine Keener|Jim Belushi,,Paul Haggis,How does a politician know he's doing the right thing? We make him pay.,mayor|politics|murder|tv mini-series|racism,"Mayor Nick Wasicsko took office in 1987 during Yonkers' worst crisis when federal courts ordered public housing built in the white, middle class side of town, dividing the city in a bitter battle fueled by fear, racism, murder and politics.",300.0,History|Crime|Drama,,2015-08-16,32.0,7.7,2015.0,0.0,0.0
318044.0,tt4284010,0.22758,0.0,0.0,"What Happened, Miss Simone?",Nina Simone|Lisa Simone Kelly|Dick Gregory|Stanley Crouch|Elisabeth Henry-Macari,,Liz Garbus,Her story. Her voice.,voice|child prodigy|singer|racism|civil rights,"The film chronicles Nina Simone's journey from child piano prodigy to iconic musician and passionate activist, told in her own words.",101.0,Documentary|Music,NetFlix|Radical Media,2015-01-22,77.0,7.7,2015.0,0.0,0.0
355020.0,tt4908644,0.220751,0.0,0.0,Winter on Fire: Ukraine's Fight for Freedom,,http://www.netflix.com/title/80031666,Evgeny Afineevsky,The Next Generation Of Revolution,,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.",98.0,Documentary,Passion Pictures|Campbell Grobman Films|Afineevsky - Tolmor Production|Pray for Ukraine Production|Rock Paper Scissors,2015-10-09,37.0,8.2,2015.0,0.0,0.0
373558.0,tt5297750,0.209036,0.0,0.0,Taylor Swift: The 1989 World Tour - Live,Taylor Swift|Ellen DeGeneres|Cara Delevingne|Lena Dunham|Selena Gomez,,Jonas Ã…kerlund,,pop culture|pop singer|pop star|music|concert,"Taylor delivers the concert event of the year. Filmed at Sydney's ANZ Stadium in front of 76,000 fans, The 1989 World Tour - Live captures the excitement and energy of the hottest pop star in the world. Filled with great music, an electrifying stage show, and superstar guest appearances, the concert film is only on Apple Music.",132.0,Documentary|Music,Apple Inc.,2015-12-20,15.0,7.6,2015.0,0.0,0.0
367326.0,tt5184298,0.208491,0.0,0.0,Cosmic Scrat-tastrophe,Chris Wedge|Ray Romano|John Leguizamo|Denis Leary,,Mike Thurmeier|Galen T. Chu,,,Scrat struggles once again to protect his nut.,5.0,Science Fiction|Comedy|Animation|Family,Twentieth Century Fox Film Corporation|Blue Sky Studios,2015-11-06,33.0,7.7,2015.0,0.0,0.0
321109.0,tt4393514,0.201696,0.0,0.0,Bitter Lake,,,Adam Curtis,,manipulation|politics|war|control|fear,An experimental documentary that explores Saudi Arabia's relationship with the U.S. and the role this has played in the war in Afghanistan.,135.0,Documentary,BBC,2015-01-24,19.0,7.8,2015.0,0.0,0.0
339065.0,tt3162938,0.137772,0.0,0.0,The True Cost,Vandana Shiva|Stella McCartney,http://truecostmovie.com,Andrew Morgan,Who Pays the Price for Our Clothing?,factory worker|textile industry|documentary|economics|fashion,Film from Andrew Morgan.  The True Cost is a documentary film exploring the impact of fashion on people and the planet.,92.0,Documentary,,2015-05-29,39.0,7.6,2015.0,0.0,0.0
369058.0,tt5210380,0.133921,0.0,0.0,Merry Kissmas,Karissa Staples|Brant Daugherty|Brittany Underwood|Ion Overman|Doris Roberts,,Michael Feifer,,,"Unwinding her relationship from a controlling choreographer, Kayla happens to take an elevator ride with lonesome caterer â€œDustinâ€. The lift stalls, and spontaneously, magical kisses follow. Soon the choreographer makes nice, and Dustin retreats. Kayla becomes confused as to which man to love.",90.0,Romance|TV Movie,,2015-12-05,10.0,7.6,2015.0,0.0,0.0
333350.0,tt3762974,0.122543,0.0,0.0,A Faster Horse,,,David Gelb,,mustang|car|corporation|henry ford family|car factory,"David Gelb (Jiro Dreams of Sushi) tackles another venerable, beloved, and long-standing institution: the Mustang, crown jewel of the Ford fleet. Only this institution is in turmoil. As the fiftieth anniversary of the Mustang approaches and the car industry struggles through the deepest trough of the financial crisis, Ford launches a redesign. Now the jobs of workers at Fordâ€™s Flat Rock Assembly Plant, the expectations of the thousands of Mustang devotees, and the livelihood of the city of Detroit are all placed squarely on the shoulders of Dave Pericak. As chief program engineer, he will guide the 2015 Mustang from assembly floor to showroomâ€”if only he can get that vibration out of the steering wheel.",90.0,Documentary,,2015-10-08,12.0,8.0,2015.0,0.0,0.0
224972.0,tt3983674,0.114264,0.0,0.0,The Mask You Live In,,http://themaskyoulivein.org,Jennifer Siebel Newsom,"Is american masculinity harming our boys, men and society at large?",feminism|sexism|young boy|gender roles|misogyny,"Compared to girls, research shows that boys in the U.S. are more likely to be diagnosed with a behavior disorder, prescribed stimulant medications, fail out of school, binge drink, commit a violent crime, and/or take their own lives.  Jennifer Siebel Newsom's new documentary film, The Mask You Live In, asks: As a society, how are we failing our boys?",88.0,Documentary,,2015-01-01,11.0,8.9,2015.0,0.0,0.0
371758.0,tt3581932,0.112284,0.0,0.0,And Then There Were None,Maeve Dermody|Aidan Turner|Charles Dance|Douglas Booth|Sam Neill,http://www.bbc.co.uk/programmes/b06v2v52,Craig Viveiros,Agatha Christie's darkest thriller,england|based on novel|island|murder|agatha christie,"Ten strangers, drawn away from their normal lives to an isolated rock off the Devon coast. But as the mismatched group waits for the arrival of the hosts â€“ the improbably named Mr and Mrs U.N. Owen â€“ the weather sours and they find themselves cut off from civilisation. Very soon, the guests, each struggling with their conscience, will start to die â€“ one by one, according to the rules of the nursery rhyme â€˜Ten Little Soldier Boysâ€™ - a rhyme that hangs in every room of the house and ends with the most terrifying words of all: ""â€¦and then there were none.""",168.0,Mystery|Drama,British Broadcasting Corporation (BBC)|Mammoth Screen|A&E Television Networks|Agatha Christie Ltd|Acorn Productions,2015-12-26,37.0,7.7,2015.0,0.0,0.0
367215.0,tt5083702,0.106091,0.0,0.0,The Fear of 13,Sammy Silverwatch,http://www.thefearof13.com/,David Sington,We are the stories we tell.,prison|prisoner|death row|reenactment|legal system,"After 23 years on Death Row a convicted murderer petitions the court asking to be executed, but as his story unfolds, it becomes clear that nothing is what it seems.",96.0,Thriller|Documentary,,2015-10-15,19.0,8.2,2015.0,0.0,0.0
371759.0,tt4701546,0.068741,0.0,0.0,Doctor Who: The Husbands of River Song,Peter Capaldi|Alex Kingston|Greg Davies|Matt Lucas|Phillip Rhys,http://www.bbc.co.uk/programmes/b06tl32t,Douglas Mackinnon,,,"Itâ€™s Christmas Day on a remote human colony and the Doctor is hiding from Christmas Carols and Comedy Antlers. But when a crashed spaceship calls upon the Doctor for help, he finds himself recruited into River Songâ€™s squad and hurled into a fast and frantic chase across the galaxy. King Hydroflax is furious, and his giant Robot bodyguard is out-of-control and coming for them all! Will Nardole survive? And when will River Song work out who the Doctor is? All will be revealed on a starliner full of galactic super-villains and a destination the Doctor has been avoiding for a very long time.",60.0,Drama|Science Fiction|Comedy,British Broadcasting Corporation (BBC),2015-12-25,31.0,8.0,2015.0,0.0,0.0
321594.0,tt4368814,0.082444,0.0,0.0,Louis C.K.: Live at The Comedy Store,Louis C.K.,https://www.louisck.net/purchase/live-at-the-comedy-store,Louis C.K.,,stand-up|stand up comedy,"This material was developed and prepared over the last year or so, mostly in comedy clubs. This special kind of goes back to when he used to just make noises and be funny for no particular reason. It felt right to him to shoot this special in a club to give it that live immediate intimate feeling. The show is about an hour long. The opening act, who is seen at the beginning (good place for an opening act) is Jay London. One of his favorite club comics going way back to the late 80s when he first started in working in New York.",65.0,Comedy,Pig Newton,2015-01-27,35.0,7.7,2015.0,0.0,0.0
333377.0,tt3270538,0.0807539999999999,0.0,44695.0,Requiem for the American Dream,Noam Chomsky,http://requiemfortheamericandream.com/,Jared P. Scott|Peter D. Hutchison|Kelly Nyks,,upper class|middle class|working class|economics|inequality,"Through riveting and candid conversation, Noam Chomsky, regarded as one of the most important intellectuals alive today, provides the definitive discourse on the â€œTwo Americas.â€ Filmed over the course of four years, the Chomsky interviews expose how a half-century of policies have created a state of unprecedented economic inequality: concentrating wealth in the hands of a few at the expense of everyone else.  At times deeply personal, these interviews take a closer look at Chomskyâ€™s own activism and political involvement as well as diving into his profound insight on the death of the middle class and the end of functioning democracy. Requiem For the American Dream provides a unique opportunity to introduce Chomsky to a broader audience and to widen the discussion regarding events that deeply impact all of our lives.",73.0,Documentary,PF Pictures|Naked City Films,2015-04-18,24.0,7.8,2015.0,0.0,41119.3819074719
319091.0,tt4185572,0.062536,0.0,0.0,The Hunting Ground,,,Kirby Dick,,,"From the makers of The Invisible War comes a startling expose of rape crimes on US campuses, their institutional cover-ups, and the devastating toll they take on students and their families. Weaving together verite footage and first person testimonies, the film follows the lives of several undergraduate assault survivors as they attempt to pursue - despite incredible push back, harassment and traumatic aftermath - both their education and justice.",103.0,Documentary,,2015-02-27,39.0,7.8,2015.0,0.0,0.0
332479.0,tt4550996,0.047256,0.0,0.0,Star Wars: TIE Fighter,,https://www.youtube.com/watch?v=PN_CP4SuoTU,Paul Johnson,"star wars, Tie Fighter, anime",space battle|animation|space opera|military,"Paul â€œOtaKingâ€ Johnson drops a real treat in the form of this â€œStar Wars: TIE Fighterâ€ animated short. Complete with appropriately radical electric guitar solos and impressive attention to detail, â€œTIE Fighterâ€ casts the forces of the Galactic Empire not in the role of disposable cannon fodder seen in the Star Wars films, but as near-suicidally reckless angels of death.  Johnson animated this 7-minute short over the course of â€œfour yearsâ€™ worth of weekends,â€ and his love and attention-to-detail shows.",7.0,Science Fiction|Action|Animation,,2015-03-24,29.0,7.6,2015.0,0.0,0.0
321640.0,tt4299972,0.033378,0.0,0.0,The Jinx: The Life and Deaths of Robert Durst,Robert Durst|Andrew Jarecki|Marc Smerling|Zachary Stuart-Pontier|Lynda Obst,,Andrew Jarecki,Four Decades. Three Murders. And One Very Rich Suspect.,murder|crime|real life,"Robert Durst, scion of one of New Yorkâ€™s billionaire real estate families, has been accused of three murders but never convicted. Brilliant, reclusive, and the subject of relentless media scrutiny, heâ€™s never spoken publiclyâ€”until now. During interviews with Andrew Jarecki, he reveals secrets of the case that baffled authorities for 30 years. In 2010, Jarecki made the narrative film All Good Things based on the infamous story of Robert Durst. After Durst saw the film, he contacted Jarecki wanting to tell his story. What began as a feature documentary ultimately became a six-part series as more and more of his incredible story was revealed.",240.0,Documentary,Blumhouse Productions|Hit the Ground Running Films,2015-02-08,72.0,8.4,2015.0,0.0,0.0
303867.0,tt4171032,0.032678,0.0,0.0,World of Tomorrow,Julia Pott|Winona Mae,http://bitterfilms.com,Don Hertzfeldt,,,A little girl is contacted by a mysterious woman.,17.0,Animation|Comedy|Science Fiction,Bitter Films,2015-03-31,47.0,8.2,2015.0,0.0,0.0
157336.0,tt0816692,24.949134,165000000.0,621752480.0,Interstellar,Matthew McConaughey|Jessica Chastain|Anne Hathaway|Michael Caine|Casey Affleck,http://www.interstellarmovie.net/,Christopher Nolan,Mankind was born on Earth. It was never meant to die here.,saving the world|artificial intelligence|father-son relationship|single parent|nasa,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,169.0,Adventure|Drama|Science Fiction,Paramount Pictures|Legendary Pictures|Warner Bros.|Syncopy|Lynda Obst Productions,2014-11-05,6498.0,8.0,2014.0,151980023.37729,572690645.122961
118340.0,tt2015381,14.311205,170000000.0,773312399.0,Guardians of the Galaxy,Chris Pratt|Zoe Saldana|Dave Bautista|Vin Diesel|Bradley Cooper,http://marvel.com/guardians,James Gunn,All heroes start somewhere.,marvel comic|spaceship|space|scene during end credits|outer space,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",121.0,Action|Science Fiction|Adventure,Marvel Studios|Moving Picture Company (MPC)|Bulletproof Cupid|Revolution Sun Studios,2014-07-30,5612.0,7.9,2014.0,156585478.631148,712291130.169508
100402.0,tt1843866,12.971027,170000000.0,714766572.0,Captain America: The Winter Soldier,Chris Evans|Scarlett Johansson|Sebastian Stan|Samuel L. Jackson|Robert Redford,http://www.captainamericathewintersoldiermovie.com,Joe Russo|Anthony Russo,In heroes we trust.,washington d.c.|future|shield|marvel comic|comic,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemyâ€”the Winter Soldier.",136.0,Action|Adventure|Science Fiction,Marvel Studios,2014-03-20,3848.0,7.6,2014.0,156585478.631148,658365092.859794
177572.0,tt2245084,8.691294,165000000.0,652105443.0,Big Hero 6,Scott Adsit|Ryan Potter|Daniel Henney|T.J. Miller|Jamie Chung,http://movies.disney.com/big-hero-6,Don Hall|Chris Williams,From the creators of Wreck-it Ralph and Frozen,brother brother relationship|hero|talent|revenge|best friend,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",102.0,Adventure|Family|Animation|Action|Comedy,Walt Disney Pictures|Walt Disney Animation Studios,2014-10-24,4185.0,7.8,2014.0,151980023.37729,600648487.706658
205596.0,tt2084970,8.110711,14000000.0,233555708.0,The Imitation Game,Benedict Cumberbatch|Keira Knightley|Matthew Goode|Rory Kinnear|Allen Leech,http://theimitationgamemovie.com/,Morten Tyldum,The true enigma was the man who cracked the code.,gay|england|world war ii|mathematician|biography,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",113.0,History|Drama|Thriller|War,Black Bear Pictures|Bristol Automotive,2014-11-14,3478.0,8.0,2014.0,12895274.7108004,215126072.495392
210577.0,tt2267998,6.438727,61000000.0,369330363.0,Gone Girl,Ben Affleck|Rosamund Pike|Carrie Coon|Neil Patrick Harris|Tyler Perry,http://www.gonegirlmovie.com/,David Fincher,You don't know what you've got 'til it's...,falsely accused person|based on novel|marriage crisis|disappearance|cheating husband,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",145.0,Mystery|Thriller|Drama,Twentieth Century Fox Film Corporation|Regency Enterprises|New Regency Pictures|Pacific Standard|TSG Entertainment,2014-10-01,3720.0,7.9,2014.0,56186554.097059,340186892.137474
127585.0,tt1877832,6.052479,250000000.0,746000000.0,X-Men: Days of Future Past,Hugh Jackman|James McAvoy|Patrick Stewart|Michael Fassbender|Ian McKellen,http://www.x-menmovies.com/,Bryan Singer,"To save the future, they must alter the past",1970s|mutant|time travel|marvel comic|based on comic book,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past â€“ to save our future.,131.0,Action|Adventure|Fantasy|Science Fiction,Twentieth Century Fox Film Corporation|Donners' Company|Marvel Entertainment|Bad Hat Harry Productions|TSG Entertainment,2014-05-15,4006.0,7.6,2014.0,230272762.692864,687133923.875509
242582.0,tt2872718,5.522641,8500000.0,38697217.0,Nightcrawler,Jake Gyllenhaal|Rene Russo|Riz Ahmed|Bill Paxton|Kevin Rahm,http://nightcrawlerfilm.com/,Dan Gilroy,The city shines brightest at night,journalism|underground|tv station|sociopath|home invasion,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",117.0,Crime|Drama|Thriller,Bold Films|Sierra / Affinity,2014-10-23,2087.0,7.6,2014.0,7829273.9315574,35643660.2684612
120467.0,tt2278388,4.93082,30000000.0,174600318.0,The Grand Budapest Hotel,Ralph Fiennes|Tony Revolori|F. Murray Abraham|Mathieu Amalric|Adrien Brody,,Wes Anderson,A perfect holiday without leaving home.,hotel|painting|wartime|gunfight|theft,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protÃ©gÃ©. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",99.0,Comedy|Drama,Fox Searchlight Pictures|Scott Rudin Productions|Studio Babelsberg|Indian Paintbrush|TSG Entertainment,2014-02-26,2802.0,7.9,2014.0,27632731.5231437,160822790.371651
244786.0,tt2582802,4.780419,3300000.0,13993093.0,Whiplash,Miles Teller|J.K. Simmons|Melissa Benoist|Austin Stowell|Jayson Blair,http://sonyclassics.com/whiplash/,Damien Chazelle,The road to greatness can take you to the edge.,jazz|obsession|conservatory|music teacher|new york city,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",105.0,Drama|Music,Bold Films|Blumhouse Productions|Right of Way Films,2014-10-10,2372.0,8.2,2014.0,3039600.46754581,12888912.7349127
137113.0,tt1631867,3.990452,178000000.0,370541256.0,Edge of Tomorrow,Tom Cruise|Emily Blunt|Brendan Gleeson|Bill Paxton|Jonas Armstrong,http://www.edgeoftomorrowmovie.com/,Doug Liman,"Live, Die, Repeat",deja vu|time warp|dystopia|war|alien,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",113.0,Action|Science Fiction,Village Roadshow Pictures|Warner Bros.|Viz Media|Province of British Columbia Production Services Tax Credit|3 Arts Entertainment,2014-05-27,3267.0,7.7,2014.0,163954207.037319,341302234.843216
